mESC,pro-B,Myotube,Th-cell,Macrophage
NM_001034097,NM_007645,NM_011424,NM_011681,NM_019946
NM_008952,NM_021366,NM_001039669,NM_008353,NM_130796
NM_054043,NM_001081345,NM_177068,NM_010223,NM_199221
NM_139311,NM_013659,NM_001081970,NM_025967,NM_007498
NM_001176528,NM_008803,NM_008609,NM_010876,NM_011862
NM_011551,NR_015614,NM_194350,NM_010559,NM_010187
NM_010838,NM_011671,NM_011923,NM_009852,NM_011227
NM_145823,NR_029791,NM_175484,NM_027136,NM_007385
NR_027059,NR_028079,NM_153114,NM_133694,NM_177653
NM_007707,NM_010826,NM_010708,NM_008026,NM_028341
NM_008709,NM_025846,NM_025961,NM_008372,NM_001197321
NR_033689,NM_011965,NM_198602,NM_009630,NM_027430
NM_010907,NM_007908,NM_001081225,NM_010581,NM_008605
NM_145442,NM_021887,NR_027784,NM_134250,NM_001134791
NM_011934,NM_011363,NM_016667,NM_011193,NM_053110
NM_145836,NM_029609,NM_153179,NM_013542,NM_001077515
NM_172584,NM_175268,NM_146001,NM_008494,NM_001081274
NM_001135001,NR_035488,NR_030423,NM_011385,NM_011994
NM_012023,NM_011288,NM_026514,NM_015811,NM_001174170
NM_008291,NM_031257,NM_001163031,NM_001077509,NM_010705
NM_007974,NM_172911,NM_145144,NM_144551,NM_145933
NM_007930,NM_177304,NM_010019,NM_008562,NM_001113198
NR_035442,NM_010592,NM_001164048,NR_003523,NM_007945
NM_017479,NM_009001,NM_009881,NM_027898,NM_016917
NM_144841,NM_029736,NM_001039723,NM_027238,NM_172803
NM_001039198,NM_010499,NM_001098230,NM_025892,NM_010130
NM_021480,NM_008535,NM_001007569,NM_007569,NM_144549
NM_001081177,NM_022331,NM_053245,NM_001176528,NM_172844
NM_013514,NM_018882,NM_144536,NM_001037727,NM_007483
NM_009366,NM_173036,NM_018865,NM_007888,NM_001111023
NR_015485,NM_001042715,NM_175511,NM_145836,NM_001085355
NM_009769,NM_010901,NM_054043,NM_011616,NM_028053
NM_011897,NM_027570,NM_001024617,NM_025400,NM_175155
NM_001034851,NM_172285,NM_023844,NM_021399,NM_011539
NR_003368,NM_028071,NM_009775,NM_146187,NM_080555
