mESC,pro-B,Myotube,Th-cell
,NM_028932,NM_008842,NM_010437
,NM_025295,NM_019739,NM_007642
,NM_001146022,NM_011682,NM_030732
,NM_001123371,NM_001164791,NM_010500
,NM_001162863,NM_175270,NM_173398
,NM_183175,NM_001163356,NM_025954
,NM_008915,NM_007582,NM_023402
,NM_008115,NM_011106,NM_144539
,NM_008115,NM_001166585,NM_026942
,NM_008879,NR_029552,NM_001164374
,NM_001081377,NR_033813,NM_001025255
,NM_029341,NM_177901,NR_027805
,NM_026002,NM_201389,NM_001163632
,NM_181317,NM_018745,NM_001081105
,NM_181317,NM_001146180,NM_026071
,NM_011740,NM_029569,NM_008136
,NM_011740,NM_001167873,NM_011498
,NM_031378,NM_009324,NM_028283
,NM_009192,NM_153778,NM_199322
,NM_008975,NM_001029838,NM_022305
,NM_001099217,NM_001159965,NM_018851
,NM_172611,NM_001170847,NM_007420
,NM_145475,NM_175279,NM_011530
,NM_178114,NM_001081242,NM_018865
,NM_019572,NM_178608,NM_025412
,NM_010679,NM_194053,NM_008417
,NM_001162932,NM_001164745,NM_178901
,NM_001162932,NM_018866,NM_178803
,NM_028964,NM_010168,NM_013730
,NM_028964,NM_144945,NM_008972
,NM_001190325,NM_028937,NM_007783
,NM_016983,NM_016752,NM_017373
,NM_009744,NR_029465,NM_021549
,NM_178665,NM_001081243,NM_001001735
,NM_027904,NM_025368,NM_011817
,NM_001033539,NM_011596,NM_176836
,NM_010739,NM_008947,NM_001033399
,NM_010739,NM_013867,NM_001083810
,NM_010581,NR_029649,NM_009917
,NM_010581,NM_011529,NM_001136073
,NM_018784,NR_033514,NM_028696
,NM_010954,NM_010101,NM_028669
,NM_008338,NM_007389,NM_001111111
,NR_030429,NM_016749,NM_021878
,NR_030429,NM_028079,NM_001081157
,NR_030429,NM_026473,NM_001162433
,NR_030429,NM_025459,NM_001163631
,NM_133659,NM_008393,NR_029532
,NM_080553,NM_025873,NM_177397
,NM_146075,NM_009238,NM_194334
,NM_001159538,NM_201411,NM_025275
,NM_008842,NM_013471,NM_021887
,NM_033444,NM_026837,NM_008404
,NM_010735,NM_080595,NM_010592
,NM_134122,NM_023716,NM_010581
,NM_009505,NM_018882,NM_009430
,NM_001081636,NM_153778,NM_133769
,NM_007632,NM_001001884,NR_033689
,NM_001033405,NM_177305,NM_172457
,NM_009372,NM_001122739,NR_029457
,NM_001001806,NM_001033213,NM_001164598
,NM_001167539,NM_172487,NM_019732
,NM_134112,NM_145132,NM_001033465
,NM_009668,NM_026316,NM_001162970
,NM_133687,NM_001083957,NR_029768
,NM_007858,NM_016758,NM_011337
,NM_018744,NM_001039510,NM_001197321
,NM_175751,NM_009423,NM_008842
,NM_001083967,NM_001163175,NM_007913
,NM_026316,NM_019978,NM_172688
,NM_144532,NM_029624,NM_009983
,NM_031868,NM_053100,NM_013486
,NM_027196,NM_008481,NM_001136073
,NM_130863,NM_025994,NM_008377
,NR_002847,NM_001037724,NM_010902
,NR_003513,NM_023336,NM_013571
,NM_011242,NR_001592,NM_028133
,NM_001168526,NM_001142918,NM_023049
,NM_008960,NM_145617,NR_003623
,NM_008960,NM_177652,NM_018853
,NM_009345,NR_033304,NM_008879
,NM_031376,NM_144846,NM_001168526
,NM_009128,NM_025807,NM_053100
,NM_009127,NR_002452,NM_001042501
,NM_053100,NM_009911,NM_008655
,NR_028427,NM_001033208,NM_018781
,NM_145505,NM_146057,NM_008979
,NM_028773,NM_001034878,NM_007498
,NM_019680,NM_008343,NM_009843
,NM_001101606,NM_146250,NM_026381
,NM_021278,NM_009851,NM_001083318
,,NM_001033713,NR_028424
,,NM_009014,NM_013839
,,NM_001081347,NM_010743
,,NM_178715,NM_001159375
,,NM_144854,NM_011756
,,NM_030749,NM_010472
,,NM_008845,NM_023374
,,NM_001159509,NM_001163632
,,NM_013645,NM_019732
